unique-number,lecture-days,lecture-start,lecture-end,professor-last-name,professor-first-initial,rmp-rating,prefix,number,average
03150,MW,1400,1530,MEAKIN,C,4.8,LEB,323,3.54
03295,TTH,800,930,MILLER,J,5,FIN,357,3.02
03310,TTH,930,1100,MILLER,J,5,FIN,357,3.02
03330,TTH,1230,1400,MILLER,J,5,FIN,357,3.02
03195,MW,1400,1530,MURRAY,P,4.8,LEB,380,3.4
19935,TTH,1100,1200,PAPALEXANDROU,A,4,ARH,302,3.91
19940,TTH,1100,1200,PAPALEXANDROU,A,4,ARH,302,3.91
19945,TTH,1100,1200,PAPALEXANDROU,A,4,ARH,302,3.91
03315,MW,1100,1230,POLOSKEY,M,2.4,FIN,357,3.14
03325,MW,1230,1400,POLOSKEY,M,2.4,FIN,357,3.14
03335,MW,1400,1530,POLOSKEY,M,2.4,FIN,357,3.14
03170,MW,1100,1230,PRENTICE,R,5,LEB,323H,3.56
03130,TTH,800,930,QUINTANILLA,D,5,LEB,323,3.31
03300,MW,930,1100,RAO,R,3,FIN,357,3.38
03320,MW,1100,1230,RAO,R,3,FIN,357,3.38
03140,TTH,930,1100,RENBARGER,G,4,LEB,323,3.85
03275,MW,930,1100,TOPRAC,H,4.3,FIN,320F,3.03
03280,MW,1100,1230,TOPRAC,H,4.3,FIN,320F,3.03
00860,TTH,830,1100,SMITH,M,4.4,ARC,361T,2.87
00510,TTH,1230,1400,SPECK,L,4.5,ARC,308,3.46
03930,MW,800,930,KHOO,H,4.4,MIS,304,3.27
03935,MW,930,1100,KHOO,H,4.4,MIS,304,3.27
03940,MW,1100,1230,KHOO,H,4.4,MIS,304,3.27
02015,MW,800,930,LEEDS,S,5,B A,385T,3.54
10450,TTH,930,1100,AWAD,G,4.3,EDP,354J,3.21
03455,TTH,1400,1530,LEEDS,S,5,FIN,371M,3.54
11270,TTH,930,1100,BECKWITH,K,3.1,KIN,226,3.83
11075,MW,1000,1100,BOWERS,M,4.8,KIN,312M,3.62
